name|code|DdxNum|DdxPer|DdzNum|DdzPer|TddzNum|TddzPer|TotalNum|TotalPer|DayNum
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000518"><span class="fore-stock-name">四环生物</span><span class="fore-stock-spell displaynone">000518SHSW</span></a>|<span class="fore-stock-code">sz000518</span>|12|0.6|10|0.5|11|0.55|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002032"><span class="fore-stock-name">苏泊尔</span><span class="fore-stock-spell displaynone">002032SBE</span></a>|<span class="fore-stock-code">sz002032</span>|12|0.6|10|0.5|11|0.55|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002367"><span class="fore-stock-name">康力电梯</span><span class="fore-stock-spell displaynone">002367KLDT</span></a>|<span class="fore-stock-code">sz002367</span>|12|0.6|10|0.5|11|0.55|34|0.5667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002462"><span class="fore-stock-name">嘉事堂</span><span class="fore-stock-spell displaynone">002462JST</span></a>|<span class="fore-stock-code">sz002462</span>|13|0.65|10|0.5|11|0.55|35|0.5834|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002606"><span class="fore-stock-name">大连电瓷</span><span class="fore-stock-spell displaynone">002606DLDC</span></a>|<span class="fore-stock-code">sz002606</span>|13|0.65|10|0.5|11|0.55|35|0.5834|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000783"><span class="fore-stock-name">长江证券</span><span class="fore-stock-spell displaynone">000783CJZQ</span></a>|<span class="fore-stock-code">sz000783</span>|13|0.65|10|0.5|12|0.6|37|0.6167|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002252"><span class="fore-stock-name">上海莱士</span><span class="fore-stock-spell displaynone">002252SHLS</span></a>|<span class="fore-stock-code">sz002252</span>|14|0.7|10|0.5|14|0.7|42|0.7001|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh600297"><span class="fore-stock-name">广汇汽车</span><span class="fore-stock-spell displaynone">600297GHQC</span></a>|<span class="fore-stock-code">sh600297</span>|14|0.7|10|0.5|16|0.8|46|0.7667|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sh603108"><span class="fore-stock-name">润达医疗</span><span class="fore-stock-spell displaynone">603108RDYL</span></a>|<span class="fore-stock-code">sh603108</span>|10|0.5264|10|0.5264|10|0.5264|30|0.5264|19
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300281"><span class="fore-stock-name">金明精机</span><span class="fore-stock-spell displaynone">300281JMJJ</span></a>|<span class="fore-stock-code">sz300281</span>|12|0.6316|10|0.5264|10|0.5264|32|0.5615|19
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz300110"><span class="fore-stock-name">华仁药业</span><span class="fore-stock-spell displaynone">300110HRYY</span></a>|<span class="fore-stock-code">sz300110</span>|9|0.5295|9|0.5295|9|0.5295|27|0.5295|17
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002014"><span class="fore-stock-name">永新股份</span><span class="fore-stock-spell displaynone">002014YXGF</span></a>|<span class="fore-stock-code">sz002014</span>|9|0.6|8|0.5334|8|0.5334|25|0.5556|15
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz002557"><span class="fore-stock-name">洽洽食品</span><span class="fore-stock-spell displaynone">002557QQSP</span></a>|<span class="fore-stock-code">sz002557</span>|14|0.7|11|0.55|9|0.45|32|0.5334|20
<a target="_blank" href="http://localhost/ForeShadowAlpha/Chart.php?code=sz000703"><span class="fore-stock-name">恒逸石化</span><span class="fore-stock-spell displaynone">000703HYSH</span></a>|<span class="fore-stock-code">sz000703</span>|12|0.6|11|0.55|10|0.5|32|0.5334|20
