code|name|spell
sh600758|红阳能源|600758HYNY
sh600759|洲际油气|600759ZJYQ
sh600760|中航黑豹|600760ZHHB
sh600761|安徽合力|600761AHHL
sh600763|通策医疗|600763TCYL
sh600764|中电广通|600764ZDGT
sh600765|中航重机|600765ZHZJ
sh600766|园城黄金|600766YCHJ
sh600767|运盛医疗|600767YSYL
sh600768|宁波富邦|600768NBFB
sh600769|祥龙电业|600769XLDY
sh600770|综艺股份|600770ZYGF
sh600771|广誉远|600771GYY
sh600773|西藏城投|600773XCCT
sh600774|汉商集团|600774HSJT
sh600775|南京熊猫|600775NJXM
sh600776|东方通信|600776DFTX
sh600777|新潮能源|600777XCNY
sh600778|友好集团|600778YHJT
sh600779|水井坊|600779SJF
sh600780|通宝能源|600780TBNY
sh600781|辅仁药业|600781FRYY
sh600782|新钢股份|600782XGGF
sh600783|鲁信创投|600783LXCT
sh600784|鲁银投资|600784LYTZ
sh600785|新华百货|600785XHBH
sh600787|中储股份|600787ZCGF
sh600789|鲁抗医药|600789LKYY
sh600790|轻纺城|600790QFC
sh600791|京能置业|600791JNZY
sh600792|云煤能源|600792YMNY
sh600793|宜宾纸业|600793YBZY
sh600794|保税科技|600794BSKJ
sh600795|国电电力|600795GDDL
sh600796|钱江生化|600796QJSH
sh600797|浙大网新|600797ZDWX
sh600798|宁波海运|600798NBHY
sh600800|天津磁卡|600800TJCK
sh600801|华新水泥|600801HXSN
sh600802|福建水泥|600802FJSN
sh600803|新奥股份|600803XAGF
sh600804|鹏博士|600804PBS
sh600805|悦达投资|600805YDTZ
sh600807|天业股份|600807TYGF
sh600808|马钢股份|600808MGGF
sh600809|山西汾酒|600809SXFJ
sh600810|神马股份|600810SMGF
sh600811|东方集团|600811DFJT
sh600812|华北制药|600812HBZY
sh600814|杭州解百|600814HZJB
sh600815|厦工股份|600815XGGF
sh600816|安信信托|600816AXXT
sh600817|ST宏盛|600817STHS
sh600818|中路股份|600818ZLGF
sh600819|耀皮玻璃|600819YPBL
sh600820|隧道股份|600820SDGF
sh600821|津劝业|600821JQY
sh600822|上海物贸|600822SHWM
sh600823|世茂股份|600823SMGF
sh600824|益民集团|600824YMJT
sh600825|新华传媒|600825XHCM
sh600826|兰生股份|600826LSGF
sh600827|百联股份|600827BLGF
sh600828|茂业商业|600828MYSY
sh600829|人民同泰|600829RMTT
sh600830|香溢融通|600830XYRT
sh600831|广电网络|600831GDWL
sh600833|第一医药|600833DYYY
sh600834|申通地铁|600834STDT
sh600835|上海机电|600835SHJD
sh600836|界龙实业|600836JLSY
sh600837|海通证券|600837HTZQ
sh600838|上海九百|600838SHJB
sh600839|四川长虹|600839SCCH
sh600841|上柴股份|600841SCGF
sh600843|上工申贝|600843SGSB
sh600844|丹化科技|600844DHKJ
sh600845|宝信软件|600845BXRJ
sh600846|同济科技|600846TJKJ
sh600847|万里股份|600847WLGF
sh600848|上海临港|600848SHLG
sh600850|华东电脑|600850HDDN
sh600851|海欣股份|600851HXGF
sh600853|龙建股份|600853LJGF
sh600854|春兰股份|600854CLGF
sh600855|航天长峰|600855HTCF
sh600856|中天能源|600856ZTNY
sh600857|宁波中百|600857NBZB
sh600858|银座股份|600858YZGF
sh600859|王府井|600859WFJ
sh600860|京城股份|600860JCGF
sh600861|北京城乡|600861BJCX
sh600862|中航高科|600862ZHGK
sh600863|内蒙华电|600863NMHD
sh600864|哈投股份|600864HTGF
sh600865|百大集团|600865BDJT
sh600866|星湖科技|600866XHKJ
sh600867|通化东宝|600867THDB
sh600868|梅雁吉祥|600868MYJX
sh600869|智慧能源|600869ZHNY
sh600870|厦华电子|600870XHDZ
sh600871|石化油服|600871SHYF
sh600872|中炬高新|600872ZJGX
sh600873|梅花生物|600873MHSW
sh600874|创业环保|600874CYHB
sh600875|东方电气|600875DFDQ
sh600876|洛阳玻璃|600876LYBL
sh600877|中国嘉陵|600877ZGJL
sh600879|航天电子|600879HTDZ
sh600880|博瑞传播|600880BRCB
sh600881|亚泰集团|600881YTJT
sh600882|广泽股份|600882GZGF
sh600883|博闻科技|600883BWKJ
sh600884|杉杉股份|600884SSGF
sh600885|宏发股份|600885HFGF
sh600886|国投电力|600886GTDL
sh600887|伊利股份|600887YLGF
sh600888|新疆众和|600888XJZH
sh600889|南京化纤|600889NJHX
sh600890|中房股份|600890ZFGF
sh600891|秋林集团|600891QLJT
sh600892|大晟文化|600892DSWH
sh600893|中航动力|600893ZHDL
sh600894|广日股份|600894GRGF
sh600895|张江高科|600895ZJGK
sh600896|览海投资|600896LHTZ
sh600897|厦门空港|600897XMKG
sh600898|国美通讯|600898GMTX
sh600900|长江电力|600900CJDL
sh600908|无锡银行|600908WXYH
sh600909|华安证券|600909HAZQ
sh600917|重庆燃气|600917ZQRQ
sh600919|江苏银行|600919JSYH
sh600926|杭州银行|600926HZYH
sh600936|广西广电|600936GXGD
sh600939|重庆建工|600919CQJG
sh600958|东方证券|600958DFZQ
sh600959|江苏有线|600959JSYX
sh600960|渤海活塞|600960BHHS
sh600961|株冶集团|600961ZYJT
